model,language,lang_code,category,accuracy,n
aya-vision-8b,English,en,math,16.25,400
aya-vision-8b,English,en,science,75.0,400
aya-vision-8b,English,en,stem,26.11,180
aya-vision-8b,Hindi,hi,math,14.75,400
aya-vision-8b,Hindi,hi,science,59.25,400
aya-vision-8b,Hindi,hi,stem,18.33,180
aya-vision-8b,Marathi,mr,math,8.0,400
aya-vision-8b,Marathi,mr,science,46.0,400
aya-vision-8b,Marathi,mr,stem,16.67,180
aya-vision-8b,Bengali,bn,math,6.75,400
aya-vision-8b,Bengali,bn,science,40.75,400
aya-vision-8b,Bengali,bn,stem,12.78,180
aya-vision-8b,Tamil,ta,math,5.25,400
aya-vision-8b,Tamil,ta,science,26.0,400
aya-vision-8b,Tamil,ta,stem,11.67,180
aya-vision-8b,Telugu,te,math,3.0,400
aya-vision-8b,Telugu,te,science,21.0,400
aya-vision-8b,Telugu,te,stem,10.0,180
aya-vision-8b,Kannada,kn,math,4.0,400
aya-vision-8b,Kannada,kn,science,26.75,400
aya-vision-8b,Kannada,kn,stem,8.89,180
gemma3-27b,English,en,math,41.5,400
gemma3-27b,English,en,science,70.75,400
gemma3-27b,English,en,stem,32.78,180
gemma3-27b,Hindi,hi,math,19.5,400
gemma3-27b,Hindi,hi,science,71.75,400
gemma3-27b,Hindi,hi,stem,26.11,180
gemma3-27b,Marathi,mr,math,16.0,400
gemma3-27b,Marathi,mr,science,76.0,400
gemma3-27b,Marathi,mr,stem,25.56,180
gemma3-27b,Bengali,bn,math,14.5,400
gemma3-27b,Bengali,bn,science,75.0,400
gemma3-27b,Bengali,bn,stem,29.44,180
gemma3-27b,Tamil,ta,math,17.25,400
gemma3-27b,Tamil,ta,science,71.5,400
gemma3-27b,Tamil,ta,stem,31.11,180
gemma3-27b,Telugu,te,math,19.5,400
gemma3-27b,Telugu,te,science,73.25,400
gemma3-27b,Telugu,te,stem,25.56,180
gemma3-27b,Kannada,kn,math,16.25,400
gemma3-27b,Kannada,kn,science,73.0,400
