model,language,lang_code,accuracy,ci_95,drop_abs,drop_rel_pct,p_value,significant,n
aya-vision-8b,English,en,42.04,"[38.8, 45.0]",0.0,0.0,1.0,False,980
aya-vision-8b,Hindi,hi,33.57,"[30.6, 36.5]",8.47,20.15,0.0,True,980
aya-vision-8b,Marathi,mr,25.1,"[22.3, 27.8]",16.94,40.29,0.0,True,980
aya-vision-8b,Bengali,bn,21.73,"[19.2, 24.4]",20.31,48.3,0.0,True,980
aya-vision-8b,Tamil,ta,14.9,"[12.7, 17.2]",27.14,64.56,0.0,True,980
aya-vision-8b,Telugu,te,11.63,"[9.7, 13.6]",30.41,72.33,0.0,True,980
aya-vision-8b,Kannada,kn,14.18,"[12.1, 16.4]",27.86,66.26,0.0,True,980
gemma3-27b,English,en,51.84,"[48.9, 55.0]",0.0,0.0,1.0,False,980
gemma3-27b,Hindi,hi,42.04,"[38.8, 45.2]",9.8,18.9,0.0,True,980
gemma3-27b,Marathi,mr,42.24,"[39.0, 45.5]",9.59,18.5,0.0,True,980
gemma3-27b,Bengali,bn,41.94,"[38.9, 45.2]",9.9,19.09,0.0,True,980
gemma3-27b,Tamil,ta,41.94,"[38.8, 45.0]",9.9,19.09,0.0,True,980
gemma3-27b,Telugu,te,42.55,"[39.5, 45.6]",9.29,17.91,0.0,True,980
gemma3-27b,Kannada,kn,41.33,"[38.3, 44.6]",10.51,20.28,0.0,True,980
gpt-4o,English,en,54.49,"[51.4, 57.7]",0.0,0.0,1.0,False,980
gpt-4o,Hindi,hi,44.59,"[41.5, 47.7]",9.9,18.16,0.0,True,980
gpt-4o,Marathi,mr,43.16,"[40.0, 46.3]",11.33,20.79,0.0,True,980
gpt-4o,Bengali,bn,44.49,"[41.4, 47.7]",10.0,18.35,0.0,True,980
gpt-4o,Tamil,ta,40.51,"[37.6, 43.6]",13.98,25.66,0.0,True,980
gpt-4o,Telugu,te,42.96,"[39.9, 46.0]",11.53,21.16,0.0,True,980
gpt-4o,Kannada,kn,43.67,"[40.5, 46.8]",10.82,19.85,0.0,True,980
internvl2.5-8b,English,en,45.61,"[42.4, 48.9]",0.0,0.0,1.0,False,980
internvl2.5-8b,Hindi,hi,29.8,"[26.8, 32.8]",15.82,34.68,0.0,True,980
internvl2.5-8b,Marathi,mr,27.86,"[25.1, 30.6]",17.76,38.93,0.0,True,980
internvl2.5-8b,Bengali,bn,24.9,"[22.2, 27.7]",20.71,45.41,0.0,True,980
internvl2.5-8b,Tamil,ta,22.35,"[19.7, 25.0]",23.27,51.01,0.0,True,980
internvl2.5-8b,Telugu,te,22.86,"[20.3, 25.4]",22.76,49.89,0.0,True,980
internvl2.5-8b,Kannada,kn,23.57,"[21.0, 26.3]",22.04,48.32,0.0,True,980
llama4-maverick,English,en,55.41,"[52.2, 58.6]",0.0,0.0,1.0,False,980
